id,input,output,note,label
0,Block all egress traffic with telemetry and alert checks,krknctl run network-chaos --traffic-type egress --duration 1200 --label-selector node-role.kubernetes.io/master --egress '{bandwidth: 10mbit}' --capture-metrics True --check-critical-alerts True,,network-chaos
1,Run the pod failure test with monitoring enabled for 2 iterations in the dev namespace.,krknctl run pod-scenarios --namespace dev --pod-label app=api --disruption-count 2 --iterations 2 --wait-duration 120,,pod-scenarios
2,Execute the scenario in monitoring namespace with a 120-second timeout and 1 iteration,krknctl run kubevirt-outage --namespace monitoring --vm-name <PLACEHOLDER_VM_NAME> --timeout 120 --iterations 1,Replace <PLACEHOLDER_VM_NAME> with actual VM name,kubevirt-outage
3,"Execute SYN flood targeting port 8080 in namespace staging, with window size set to 25m and iterations of 4",krknctl run syn-flood --target-port 8080 --chaos-duration 120 --namespace staging --window-size 25 --iterations 4,,syn-flood
4,Create memory stress on nodes labeled node=worker-1 while capturing metrics and sending alerts to Prometheus,krknctl run node-memory-hog --chaos-duration 90 --memory-consumption 50% --node-selector node=worker-1 --capture-metrics True --prometheus-url http://prometheus:9090,,node-memory-hog
5,Set up a node reboot experiment targeting nodes with label node-role.kubernetes.io/worker,krknctl run node-scenarios --action node_reboot_scenario --label-selector node-role.kubernetes.io/worker,,node-scenarios
6,VM outage in namespace production with data export to ES and alerting enabled,krknctl run kubevirt-outage --namespace production --vm-name my-vm --prometheus-url http://prometheus:9090 --enable-alerts true,,kubevirt-outage
7,Run node outage on bare metal using telemetry with events and logs backup,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_PATH> --telemetry-enabled True --telemetry-events-backup True --telemetry-logs-backup True --telemetry-api-url https://telemetry.example.com/api,Replace <PLACEHOLDER_SCENARIO_PATH> with the actual path to your scenario file,node-scenarios-bm
8,Simulate cluster power loss and send metrics to external collector,krknctl run power-outages --shutdown-duration 600 --prometheus-url http://prometheus:9090 --metrics-path /tmp/metrics.json,,power-outages
9,Block ingress traffic to a zone in AWS,krknctl run zone-outages --cloud-type aws --zone us-west-1 --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --subnet-id subnet-12345,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with actual values,zone-outages
10,Execute service disruption in dev namespace and send data to ES,krknctl run service-disruption-scenarios --namespace dev --capture-metrics True --prometheus-url http://localhost:9090,,service-disruption-scenarios
11,Run node start scenario with health check using a custom SSL certificate,krknctl run node-scenarios --action node_start_scenario --health-check-url https://secure.example.com/health --health-check-verify False --health-check-interval 30,,node-scenarios
12,Run service disruption targeting pods labeled app=frontend,krknctl run service-disruption-scenarios --label-selector app=frontend,,service-disruption-scenarios
13,Run service chaos in the production namespace and send telemetry to ES,krknctl run service-disruption-scenarios --namespace production --enable-es True --es-server http://elasticsearch:9200 --es-port 9200 --es-username admin --es-password secret --es-metrics-index metrics,,service-disruption-scenarios
14,Need to run a VMI deletion scenario in the kube-system namespace for incident prep.,krknctl run kubevirt-outage --namespace kube-system --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
15,We're running a container chaos scenario in the kube-system namespace targeting label app=kubelet.,krknctl run container-scenarios --namespace kube-system --label-selector app=kubelet,,container-scenarios
16,Testing container failures in the kube-system namespace using label selector app=etcd.,krknctl run container-scenarios --namespace kube-system --label-selector app=etcd,,container-scenarios
17,Gimme the krknctl command to cause pod failure in namespace production but exclude any pods labeled env=dev,krknctl run pod-scenarios --namespace production --exclude-label env=dev,,pod-scenarios
18,Execute pod network filter with telemetry backup and logs collection,krknctl run pod-network-filter --ingress True --egress True --ports 443 --pod-selector app=secure --namespace default --telemetry-enabled True --telemetry-backup-threads 2 --telemetry-logs-backup true,,pod-network-filter
19,What's the syntax for running a TCP SYN flood attack on app=api pods?,krknctl run syn-flood --target-port 80 --namespace default,,syn-flood
20,Perform container outage in namespace test with metrics and alert monitoring.,krknctl run container-scenarios --namespace test --label-selector app=api --capture-metrics True --enable-alerts True,,container-scenarios
21,How to run node scenarios with monitoring and metrics capturing on bare metal?,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --capture-metrics=true --prometheus-url=http://prometheus:9090 --enable-alerts=true,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
22,I'm looking for a pod network filter that blocks egress on port 443,krknctl run pod-network-filter --ingress False --egress True --ports 443 --pod-selector app=web,,pod-network-filter
23,Gimme the command to run pod disruption for app=web in default namespace with health check using a custom header,krknctl run pod-scenarios --namespace default --pod-label app=web --health-check-url https://default.health --health-check-interval 60,,pod-scenarios
24,Filter node traffic and monitor with Prometheus metrics and critical alert checks,krknctl run node-network-filter --ingress False --egress True --ports 9090 --chaos-duration 20 --prometheus-url http://prometheus:9090 --capture-metrics True --check-critical-alerts true,,node-network-filter
25,Give me the krknctl command to skew time on pods with label app=frontend,krknctl run time-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,time-scenarios
26,Run a pod-scenarios test in the dev namespace with exclusion label env=canary,krknctl run pod-scenarios --namespace dev --exclude-label env=canary,,pod-scenarios
27,Block ingress and egress on port 9090 with health check configured for authentication,krknctl run node-network-filter --ingress True --egress True --ports 9090 --health-check-url https://monitoring.example.com/api/status --health-check-auth api-user:api-key --health-check-interval 30,,node-network-filter
28,Run ingress-only pod network chaos in staging namespace for 10 minutes,krknctl run pod-network-chaos --namespace staging --label-selector app=frontend --traffic-type '[ingress]' --test-duration 600,,pod-network-chaos
29,just block ingress on pod with label app=web,krknctl run pod-network-filter --ingress True --egress False --ports 80 --pod-selector app=web,,pod-network-filter
