query,label,type
We need to ensure the CDN properly serves the cached maintenance page when the backend stops accepting external traffic.,application-outages,implicit
"If the underlying daemon executing the database hangs, will the orchestrator detect it and restart it?",container-scenarios,implicit
I want to see if our legacy IIS server recovers when the hypervisor drops its guest instance.,kubevirt-outage,implicit
Can we test the video streaming buffer by replicating a connection with high packet loss?,network-chaos,implicit
Let's check if the autoscaler kicks in when a runaway background job pins all the hardware threads.,node-cpu-hog,implicit
How does the message broker handle a situation where the underlying disk is completely saturated with writes from another tenant?,node-io-hog,implicit
Will the kernel panic or just kill our app if there is absolutely no free RAM left on the host?,node-memory-hog,implicit
Ensure the physical host machines reject all incoming administrative connections.,node-network-filter,implicit
I want to verify the cloud autoscaling group immediately replaces a failed EC2 instance.,node-scenarios,implicit
Let's simulate a physical hardware freeze to test our automated IPMI recovery script.,node-scenarios-bm,implicit
Check if the frontend gracefully degrades when the external third-party API is unreachable.,pod-network-chaos,implicit
Use host-level iptables to prevent a specific tenant's workload from dialing out to unapproved external IPs.,pod-network-filter,implicit
Test the resilience of our replica set by simulating random unexpected terminations of the active instances.,pod-scenarios,implicit
We need a full disaster recovery drill where the entire infrastructure suddenly loses electricity.,power-outages,implicit
What happens if a user uploads a file so large it completely exhausts the backend storage quota?,pvc-scenario,implicit
Let's test our GitOps pipeline's ability to rebuild a project if the whole namespace is accidentally wiped.,service-disruption-scenarios,implicit
How does the mobile app handle receiving a fake payload from a compromised backend?,service-hijacking,implicit
Verify the perimeter firewall's capability to drop incomplete TCP handshakes during an attack.,syn-flood,implicit
Will our financial transactions fail validation if the synchronization daemon completely drifts?,time-scenarios,implicit
Test cross-region failover when the primary AWS availability zone loses all connectivity.,zone-outages,implicit
I want to observe the user experience when the main checkout endpoint becomes completely unreachable.,application-outages,implicit
We need to ensure that an unhandled SIGKILL to the main application process triggers a container restart.,container-scenarios,implicit
Check if our OpenShift virtualized database cluster handles the sudden disappearance of a VM node.,kubevirt-outage,implicit
Simulate a highly congested WAN link with 100ms jitter to see how our microservices communicate.,network-chaos,implicit
What happens to the node's readiness status if a crypto-miner malware maximizes all core usage?,node-cpu-hog,implicit
Let's see if the database read latency spikes when the attached storage is overwhelmed by heavy sequential writes.,node-io-hog,implicit
Let's see if the Kubernetes scheduler properly evicts pods when the underlying machine's RAM is completely exhausted.,node-memory-hog,implicit
Let's verify that our microservice retries requests properly when egress traffic is selectively dropped.,pod-network-chaos,implicit
See if the horizontal pod autoscaler can keep up with a rolling wave of application crashes.,pod-scenarios,implicit
I want to measure the downtime if a rogue script deletes all the routing objects and deployments in our tenant space.,service-disruption-scenarios,implicit
Does the cluster monitoring raise a P1 alert if a runaway data pipeline monopolizes the instance's computation cycles?,node-cpu-hog,implicit
I need to confirm that our database avoids the OOM killer when the OS cache completely drains the available physical memory.,node-memory-hog,implicit
How will our application behave if the underlying host SSD is bombarded with maximum sequential writes by another process?,node-io-hog,implicit
Verify that the cloud controller manager successfully detaches volumes from an instance that suddenly goes unreachable.,node-scenarios,implicit
Test the IPMI fencing mechanism by simulating a hard physical freeze on a worker.,node-scenarios-bm,implicit
Can we guarantee that the host-level firewall rules prevent any unauthorized lateral movement at the OS level?,node-network-filter,implicit
How quickly does the deployment controller spin up replacements when a rolling wave of application panics sweeps through the cluster?,pod-scenarios,implicit
Check if the frontend displays a loading skeleton indefinitely when the payment API silently drops packets.,pod-network-chaos,implicit
I want to prove that this specific tenant's workloads are completely isolated from reaching out to the public internet.,pod-network-filter,implicit
We need to ensure the liveness probe fails and triggers a restart if the main Java thread locks up inside its isolated environment.,container-scenarios,implicit
Observe the behavior of the mobile client when the primary REST endpoints return 504 errors continuously.,application-outages,implicit
What is the mean time to recovery if an overly permissive CI/CD script accidentally cleans out the entire logical environment?,service-disruption-scenarios,implicit
Let's evaluate if our frontend is susceptible to displaying spoofed administrative data from a compromised internal endpoint.,service-hijacking,implicit
I need to validate that our perimeter defenses can handle a massive influx of incomplete connection requests without tipping over.,syn-flood,implicit
How does the distributed tracing system behave if the host synchronization agent applies a massive negative offset?,time-scenarios,implicit
We must demonstrate to stakeholders that a complete failure of the eu-central-1a data center won't impact global uptime.,zone-outages,implicit
Simulate a scenario where the entire cluster goes dark simultaneously due to a catastrophic facility failure.,power-outages,implicit
Test the behavior of the application when a rogue logging agent fills up every last block on the attached storage.,pvc-scenario,implicit
Check if the CNV abstraction automatically recreates a legacy Windows VM if the hypervisor loses track of it.,kubevirt-outage,implicit
I want to see how the Kafka brokers handle a situation where the network connection between them becomes severely degraded and lossy.,network-chaos,implicit
Test the application's response time when a neighboring container escapes its cgroups and eats all available processor threads.,node-cpu-hog,implicit
What happens to the node's readiness status when a Java application suffers a massive heap leak?,node-memory-hog,implicit
Let's see if the database read latency spikes when a background backup job completely saturates the storage bus.,node-io-hog,implicit
I need to test the autoscaling group's reaction to a virtual machine being forcefully terminated from the cloud console.,node-scenarios,implicit
Simulate the panic of the horizontal pod autoscaler when half of the active worker threads vanish.,pod-scenarios,implicit
Verify that our microservice retries requests properly when outbound API traffic is selectively restricted.,pod-network-chaos,implicit
Will our JWT validation logic correctly reject tokens if the server clock accidentally jumps 24 hours into the future?,time-scenarios,implicit
What happens if an unbounded cache directory consumes all the provisioned disk capacity on the backend?,pvc-scenario,implicit
I want to verify that our external monitoring tool pages the on-call engineer when the main web app stops resolving.,application-outages,implicit
Test our zero-trust architecture by injecting a malicious proxy that replies with spoofed authorization tokens.,service-hijacking,implicit
"We need to ensure that when a data extraction job writes gigabytes of temp files and hits the disk limit, the system gracefully pauses.",pvc-scenario,implicit
Verify if the sidecar proxy agent will automatically respawn if it gets stuck in an infinite loop and stops responding to system signals.,container-scenarios,implicit
Let's see if the shopping cart microservice can handle losing three of its five replicas unexpectedly during peak Black Friday traffic.,pod-scenarios,implicit
